"","mpg","cyl","disp","hp","drat","wt","qsec","vs","am","gear","carb","mpg.1","cyl.1","disp.1","hp.1","drat.1","wt.1","qsec.1","vs.1","am.1","gear.1","carb.1"
"Mazda RX4",3.04452243772342,1.79175946922805,5.07517381523383,4.70048036579242,1.3609765531356,0.963174317773006,2.80093319524892,-Inf,0,1.38629436111989,1.38629436111989,3.04452243772342,1.79175946922805,5.07517381523383,4.70048036579242,1.3609765531356,0.963174317773006,2.80093319524892,-Inf,0,1.38629436111989,1.38629436111989
"Mazda RX4 Wag",3.04452243772342,1.79175946922805,5.07517381523383,4.70048036579242,1.3609765531356,1.05605267424931,2.83438912314523,-Inf,0,1.38629436111989,1.38629436111989,3.04452243772342,1.79175946922805,5.07517381523383,4.70048036579242,1.3609765531356,1.05605267424931,2.83438912314523,-Inf,0,1.38629436111989,1.38629436111989
"Datsun 710",3.1267605359604,1.38629436111989,4.68213122712422,4.53259949315326,1.34807314829969,0.841567185678219,2.92369907065416,0,0,1.38629436111989,0,3.1267605359604,1.38629436111989,4.68213122712422,4.53259949315326,1.34807314829969,0.841567185678219,2.92369907065416,0,0,1.38629436111989,0
"Hornet 4 Drive",3.06339092202781,1.79175946922805,5.55295958492162,4.70048036579242,1.12492959698548,1.16782735768958,2.96733279903229,0,-Inf,1.09861228866811,0,3.06339092202781,1.79175946922805,5.55295958492162,4.70048036579242,1.12492959698548,1.16782735768958,2.96733279903229,0,-Inf,1.09861228866811,0
"Hornet Sportabout",2.92852352386054,2.07944154167984,5.88610403145016,5.16478597392351,1.14740245283754,1.23547147138531,2.83438912314523,-Inf,-Inf,1.09861228866811,0.693147180559945,2.92852352386054,2.07944154167984,5.88610403145016,5.16478597392351,1.14740245283754,1.23547147138531,2.83438912314523,-Inf,-Inf,1.09861228866811,0.693147180559945
"Valiant",2.89591193827178,1.79175946922805,5.41610040220442,4.65396035015752,1.01523067972906,1.24126858906963,3.00667221359233,0,-Inf,1.09861228866811,0,2.89591193827178,1.79175946922805,5.41610040220442,4.65396035015752,1.01523067972906,1.24126858906963,3.00667221359233,0,-Inf,1.09861228866811,0
"Duster 360",2.66025953726586,2.07944154167984,5.88610403145016,5.50125821054473,1.16627093714192,1.27256559579155,2.76253838638628,-Inf,-Inf,1.09861228866811,1.38629436111989,2.66025953726586,2.07944154167984,5.88610403145016,5.50125821054473,1.16627093714192,1.27256559579155,2.76253838638628,-Inf,-Inf,1.09861228866811,1.38629436111989
"Merc 240D",3.19458313229916,1.38629436111989,4.98838968514894,4.12713438504509,1.30562645805244,1.16002091679675,2.99573227355399,0,-Inf,1.38629436111989,0.693147180559945,3.19458313229916,1.38629436111989,4.98838968514894,4.12713438504509,1.30562645805244,1.16002091679675,2.99573227355399,0,-Inf,1.38629436111989,0.693147180559945
"Merc 230",3.1267605359604,1.38629436111989,4.94734044372394,4.55387689160054,1.36609165380237,1.14740245283754,3.13113691056019,0,-Inf,1.38629436111989,0.693147180559945,3.1267605359604,1.38629436111989,4.94734044372394,4.55387689160054,1.36609165380237,1.14740245283754,3.13113691056019,0,-Inf,1.38629436111989,0.693147180559945
"Merc 280",2.95491027903374,1.79175946922805,5.12158018804798,4.81218435537242,1.36609165380237,1.23547147138531,2.90690105984738,0,-Inf,1.38629436111989,1.38629436111989,2.95491027903374,1.79175946922805,5.12158018804798,4.81218435537242,1.36609165380237,1.23547147138531,2.90690105984738,0,-Inf,1.38629436111989,1.38629436111989
"Merc 280C",2.87919845729804,1.79175946922805,5.12158018804798,4.81218435537242,1.36609165380237,1.23547147138531,2.9391619220656,0,-Inf,1.38629436111989,1.38629436111989,2.87919845729804,1.79175946922805,5.12158018804798,4.81218435537242,1.36609165380237,1.23547147138531,2.9391619220656,0,-Inf,1.38629436111989,1.38629436111989
"Merc 450SE",2.79728133483015,2.07944154167984,5.6196759653592,5.19295685089021,1.12167756159911,1.4036429994545,2.85647020622048,-Inf,-Inf,1.09861228866811,1.09861228866811,2.79728133483015,2.07944154167984,5.6196759653592,5.19295685089021,1.12167756159911,1.4036429994545,2.85647020622048,-Inf,-Inf,1.09861228866811,1.09861228866811
"Merc 450SL",2.85070650150373,2.07944154167984,5.6196759653592,5.19295685089021,1.12167756159911,1.31640823365572,2.86789890204411,-Inf,-Inf,1.09861228866811,1.09861228866811,2.85070650150373,2.07944154167984,5.6196759653592,5.19295685089021,1.12167756159911,1.31640823365572,2.86789890204411,-Inf,-Inf,1.09861228866811,1.09861228866811
"Merc 450SLC",2.72129542785223,2.07944154167984,5.6196759653592,5.19295685089021,1.12167756159911,1.3297240096315,2.89037175789616,-Inf,-Inf,1.09861228866811,1.09861228866811,2.72129542785223,2.07944154167984,5.6196759653592,5.19295685089021,1.12167756159911,1.3297240096315,2.89037175789616,-Inf,-Inf,1.09861228866811,1.09861228866811
"Cadillac Fleetwood",2.34180580614733,2.07944154167984,6.15697898558556,5.32300997913841,1.07500242302898,1.65822807660353,2.88926002904347,-Inf,-Inf,1.09861228866811,1.38629436111989,2.34180580614733,2.07944154167984,6.15697898558556,5.32300997913841,1.07500242302898,1.65822807660353,2.88926002904347,-Inf,-Inf,1.09861228866811,1.38629436111989
"Lincoln Continental",2.34180580614733,2.07944154167984,6.13122648948314,5.37063802812766,1.09861228866811,1.69083355063809,2.88032142204266,-Inf,-Inf,1.09861228866811,1.38629436111989,2.34180580614733,2.07944154167984,6.13122648948314,5.37063802812766,1.09861228866811,1.69083355063809,2.88032142204266,-Inf,-Inf,1.09861228866811,1.38629436111989
"Chrysler Imperial",2.68784749378469,2.07944154167984,6.08677472691231,5.4380793089232,1.17248213723457,1.67616154447701,2.85761897142436,-Inf,-Inf,1.09861228866811,1.38629436111989,2.68784749378469,2.07944154167984,6.08677472691231,5.4380793089232,1.17248213723457,1.67616154447701,2.85761897142436,-Inf,-Inf,1.09861228866811,1.38629436111989
"Fiat 128",3.47815842279828,1.38629436111989,4.36564315542336,4.18965474202643,1.40609698841607,0.78845736036427,2.96887481938411,0,0,1.38629436111989,0,3.47815842279828,1.38629436111989,4.36564315542336,4.18965474202643,1.40609698841607,0.78845736036427,2.96887481938411,0,0,1.38629436111989,0
"Honda Civic",3.41444260841218,1.38629436111989,4.3267781604434,3.95124371858143,1.5953389880546,0.47933495667462,2.91885122921803,0,0,1.38629436111989,0.693147180559945,3.41444260841218,1.38629436111989,4.3267781604434,3.95124371858143,1.5953389880546,0.47933495667462,2.91885122921803,0,0,1.38629436111989,0.693147180559945
"Toyota Corolla",3.5234150143864,1.38629436111989,4.26408733680919,4.17438726989564,1.43983512804792,0.607044481506534,2.99071973173045,0,0,1.38629436111989,0,3.5234150143864,1.38629436111989,4.26408733680919,4.17438726989564,1.43983512804792,0.607044481506534,2.99071973173045,0,0,1.38629436111989,0
"Toyota Corona",3.06805293513362,1.38629436111989,4.78832472908594,4.57471097850338,1.30833281965018,0.902191807494653,2.99623214859564,0,-Inf,1.09861228866811,0,3.06805293513362,1.38629436111989,4.78832472908594,4.57471097850338,1.30833281965018,0.902191807494653,2.99623214859564,0,-Inf,1.09861228866811,0
"Dodge Challenger",2.7408400239252,2.07944154167984,5.76205138278018,5.01063529409626,1.01523067972906,1.25846098961001,2.82553689655788,-Inf,-Inf,1.09861228866811,0.693147180559945,2.7408400239252,2.07944154167984,5.76205138278018,5.01063529409626,1.01523067972906,1.25846098961001,2.82553689655788,-Inf,-Inf,1.09861228866811,0.693147180559945
"AMC Javelin",2.72129542785223,2.07944154167984,5.71702770140622,5.01063529409626,1.14740245283754,1.23401692567431,2.85070650150373,-Inf,-Inf,1.09861228866811,0.693147180559945,2.72129542785223,2.07944154167984,5.71702770140622,5.01063529409626,1.14740245283754,1.23401692567431,2.85070650150373,-Inf,-Inf,1.09861228866811,0.693147180559945
"Camaro Z28",2.58776403522771,2.07944154167984,5.85793315448346,5.50125821054473,1.31640823365572,1.34547236659964,2.73501664933202,-Inf,-Inf,1.09861228866811,1.38629436111989,2.58776403522771,2.07944154167984,5.85793315448346,5.50125821054473,1.31640823365572,1.34547236659964,2.73501664933202,-Inf,-Inf,1.09861228866811,1.38629436111989
"Pontiac Firebird",2.95491027903374,2.07944154167984,5.99146454710798,5.16478597392351,1.12492959698548,1.34677360295761,2.83615020372953,-Inf,-Inf,1.09861228866811,0.693147180559945,2.95491027903374,2.07944154167984,5.99146454710798,5.16478597392351,1.12492959698548,1.34677360295761,2.83615020372953,-Inf,-Inf,1.09861228866811,0.693147180559945
"Fiat X1-9",3.30688670219091,1.38629436111989,4.36944785246702,4.18965474202643,1.40609698841607,0.660107326481745,2.9391619220656,0,0,1.38629436111989,0,3.30688670219091,1.38629436111989,4.36944785246702,4.18965474202643,1.40609698841607,0.660107326481745,2.9391619220656,0,0,1.38629436111989,0
"Porsche 914-2",3.25809653802148,1.38629436111989,4.78998862298063,4.51085950651685,1.48839958405704,0.76080582903376,2.81540871942271,-Inf,0,1.6094379124341,0.693147180559945,3.25809653802148,1.38629436111989,4.78998862298063,4.51085950651685,1.48839958405704,0.76080582903376,2.81540871942271,-Inf,0,1.6094379124341,0.693147180559945
"Lotus Europa",3.41444260841218,1.38629436111989,4.55492896955134,4.72738781871234,1.32707500145992,0.414094434806219,2.82731362192903,0,0,1.6094379124341,0.693147180559945,3.41444260841218,1.38629436111989,4.55492896955134,4.72738781871234,1.32707500145992,0.414094434806219,2.82731362192903,0,0,1.6094379124341,0.693147180559945
"Ford Pantera L",2.76000994003292,2.07944154167984,5.86078622346587,5.57594910314632,1.43983512804792,1.15373158788919,2.67414864942653,-Inf,0,1.6094379124341,1.38629436111989,2.76000994003292,2.07944154167984,5.86078622346587,5.57594910314632,1.43983512804792,1.15373158788919,2.67414864942653,-Inf,0,1.6094379124341,1.38629436111989
"Ferrari Dino",2.98061863574394,1.79175946922805,4.97673374242057,5.16478597392351,1.28647402583768,1.01884732019925,2.7408400239252,-Inf,0,1.6094379124341,1.79175946922805,2.98061863574394,1.79175946922805,4.97673374242057,5.16478597392351,1.28647402583768,1.01884732019925,2.7408400239252,-Inf,0,1.6094379124341,1.79175946922805
"Maserati Bora",2.70805020110221,2.07944154167984,5.70711026474888,5.81413053182507,1.26412672714568,1.27256559579155,2.68102152871429,-Inf,0,1.6094379124341,2.07944154167984,2.70805020110221,2.07944154167984,5.70711026474888,5.81413053182507,1.26412672714568,1.27256559579155,2.68102152871429,-Inf,0,1.6094379124341,2.07944154167984
"Volvo 142E",3.06339092202781,1.38629436111989,4.79579054559674,4.69134788222914,1.41342302850814,1.02245092770255,2.92316158071916,0,0,1.38629436111989,0.693147180559945,3.06339092202781,1.38629436111989,4.79579054559674,4.69134788222914,1.41342302850814,1.02245092770255,2.92316158071916,0,0,1.38629436111989,0.693147180559945
